# Vx    Vy    w    Cx    Cy
-1.002015250638746829e-01 5.604666399323535164e-02 2.751782245417629114e-02 1.764107015559225999e+02 5.015727563845734380e+02
1.365649345183010330e-02 7.623564321160590518e-02 2.705705945012413030e-02 1.777276520369087507e+02 4.996950201920574273e+02
-4.369743548610253991e-02 2.589231305172808306e-01 2.751491010338158114e-02 1.846347366172355748e+02 5.055006853204859567e+02
1.109743873836378271e-02 7.006412828675569193e-02 2.762785809381686913e-02 1.787559093594945807e+02 5.007396827831670976e+02
-3.650114945415512679e-02 7.122747116707606185e-02 2.751044651857712312e-02 1.711946665456723622e+02 5.031189511173144524e+02
-1.087042342197781265e-02 9.739627324675743936e-02 2.675263216903112432e-02 1.563320444692854778e+02 5.150555467705764841e+02
-4.411272923646352914e-03 1.670765943591882297e-01 2.593273732216414690e-02 1.364796106909681725e+02 5.223830980220872107e+02
6.787261563913474238e-03 1.265446775547808267e-01 2.708782304281443995e-02 1.571883693373575568e+02 5.092513024127222252e+02
1.623232167006860571e-02 1.025356635749719580e-01 2.751730848345768782e-02 1.749826077215802229e+02 4.981829250771691022e+02
-1.265991491794209861e-02 1.751232348283043028e-01 2.796655370614638259e-02 1.763694738800887194e+02 4.973851410244564022e+02
4.126077779283954250e-02 6.961363173297663298e-02 2.824775420028711667e-02 1.720764640751972649e+02 4.957830640277539374e+02
3.495517247372558617e-02 2.172818063792018306e-01 2.913126488292720750e-02 1.799648732162752651e+02 4.995645430933725493e+02
-3.908524817809245350e-02 1.338439836016827034e-01 2.873699692228036048e-02 1.769754048429347506e+02 5.019548234888620755e+02
-5.072838339255091727e-02 1.668340633194437816e-01 2.831582702694194001e-02 1.768515456888179642e+02 5.010888511214336631e+02
-5.694093641311304133e-02 2.287429354407398974e-01 2.903888449868555557e-02 1.802576760951349968e+02 4.991984830401916042e+02
-7.576590735895588624e-02 1.559339310953814506e-01 2.971367450920925357e-02 1.761968624392025049e+02 4.992216316611660432e+02
-8.602367773060827505e-02 1.320046949407703285e-01 2.826106020491735843e-02 1.777590920982826503e+02 5.047616947476623750e+02
-8.597546689150153965e-02 1.274569159925704187e-01 2.909819731722605024e-02 1.757290820559409497e+02 5.040204014667660886e+02
-2.587555831342363763e-02 1.643103469555254881e-01 3.081936824247757251e-02 1.792534858187618170e+02 4.998368478030651545e+02
-1.230483045118532515e-01 1.932781020291836072e-01 3.033438325416167383e-02 1.831661788154316071e+02 4.985470465737327004e+02
-1.139200834667499496e-01 1.921252375375022692e-01 2.933574008887950002e-02 1.839160189996211159e+02 5.026066347033042803e+02
-6.788578314501020339e-02 9.776892758434559128e-02 3.089523981188315588e-02 1.693260762848729541e+02 4.912378261901879455e+02
-1.166357896634922370e-01 1.027004655408094713e-01 3.128211418563964230e-02 1.678064086616309964e+02 4.912578198879749038e+02
-1.390435514755899160e-01 1.361297086391655697e-01 3.021126022159494745e-02 1.695765244688695645e+02 4.925485877368184333e+02
-1.842314341348096629e-01 9.533465131372557966e-02 3.096006999892973385e-02 1.677322020248830086e+02 4.969316425568297859e+02
-1.242835129179046399e-01 4.646967747056598985e-02 3.201436876493571337e-02 1.709182890329828126e+02 4.962623508854993020e+02
-1.841782887683077463e-01 1.378199627014911888e-01 3.095152391567064856e-02 1.750574796915554998e+02 5.009700382100545539e+02
-8.898246895431229098e-02 3.732348878739263909e-02 3.167482221708138590e-02 1.741204247591805370e+02 4.989865173985787123e+02
-7.360367262760782181e-02 9.082938771915288756e-02 3.256486892403528954e-02 1.765737958403697405e+02 4.992054959012114637e+02
-6.443791261234613210e-02 1.783398812216156759e-01 3.086010789095097739e-02 1.767860045452045199e+02 4.995800045087763692e+02
6.206991031882120452e-02 2.992686876768239912e-02 3.174269551854647098e-02 1.757115856511467200e+02 5.007876756623378469e+02
-9.322740448293379001e-02 3.757252457912946958e-02 3.148690193949517380e-02 1.743459251760131963e+02 5.023636763270965844e+02
-1.236992182310354786e-02 1.755952134132338083e-02 3.332047341982241617e-02 1.760867646378045777e+02 4.934154100964568670e+02
-7.692758661851996360e-02 1.182303123155447472e-02 3.292391795545732136e-02 1.747594880870971963e+02 4.970497805942148943e+02
5.882262527246579810e-03 -2.248091309169373067e-03 3.280028766760228337e-02 1.771881727764945822e+02 4.915067375749861753e+02
-1.241352193632981465e-01 2.768643390352842210e-02 3.191951875895927132e-02 1.763101180155970553e+02 4.999605705030960507e+02
3.043715781117194846e-02 -1.316182622731718564e-02 3.173011965076973084e-02 1.726126768313925481e+02 4.997583154959602894e+02
-3.019917846694501404e-02 1.170427716927141711e-02 3.159623416022406400e-02 1.724778332248910999e+02 4.965660328415748950e+02
-9.616589856590310181e-02 6.054428283829112190e-02 2.976934822287333193e-02 1.376259913569424782e+02 5.148876046925063292e+02
-1.150169191822340009e-01 3.986605917384152681e-02 2.861386605520544954e-02 1.460306006635424012e+02 5.123363781692617067e+02
-2.601107599722830843e-02 4.034551551049220253e-02 2.874118853801609086e-02 9.915364258167883804e+01 5.225670691771390466e+02
-1.149626729304501493e-01 4.281747842344491711e-02 2.965427758850019274e-02 1.599149109928574717e+02 4.973689522616391514e+02
-1.610483133210118267e-01 -3.009432484777244815e-02 3.123894396326434841e-02 1.703324848784823757e+02 4.968181467160582088e+02
-1.597276608904787121e-01 -4.265573623581150192e-02 3.211972362435672884e-02 1.734182732769241682e+02 4.939419047508783365e+02
-1.771574109304151767e-01 -2.279392092967133868e-02 3.073687330278598862e-02 1.751586261174671790e+02 5.013472161630003825e+02
-1.540571261375617007e-01 -5.782652798033187380e-02 3.230725442632943062e-02 1.745392561167271026e+02 4.907784122684490171e+02
-1.326425091113524468e-01 -1.055350261923560656e-01 3.081454177182611429e-02 1.708043273804410944e+02 4.927710848465897016e+02
-2.013919360628418087e-01 -1.649063416722597319e-01 3.105327221001921018e-02 1.714495169462649926e+02 4.955460167786736179e+02
-1.400903934392714878e-01 -9.253089584526513062e-03 3.141553622377275812e-02 1.756253791186528588e+02 5.008232444143588964e+02
-1.408583847064121819e-01 -6.298239515408625422e-02 3.144064254425256444e-02 1.745145847836383552e+02 5.016107783876072403e+02
-1.458514212902566332e-01 -1.983957471596267119e-01 2.995241877101187736e-02 1.719782573026105581e+02 5.045544080597485390e+02
-1.858810922951699141e-01 -8.850512214820335788e-02 3.069240060881823356e-02 1.746354146784995578e+02 4.988444025611397024e+02
-9.621936615279988447e-02 -1.157369588257053522e-01 3.111575782866057155e-02 1.774472960320678965e+02 5.003354599453824108e+02
-1.621105482352763194e-01 -1.606894994673729316e-01 3.138862351360063169e-02 1.693389710310607938e+02 4.992664408241627712e+02
-1.054938756675336542e-01 -6.563518533351477002e-02 3.192670207895617618e-02 1.685720048025564211e+02 4.925056929389804168e+02
-1.637320354238514797e-01 -8.207819115365752594e-02 3.101007452950609380e-02 1.700499903447234260e+02 5.006833457005711807e+02
-1.129600889210449211e-01 -1.628408316554776081e-01 3.116531223818119756e-02 1.702376968370072632e+02 5.028279859031143815e+02
-1.262364926251239861e-01 -8.038798384267319130e-02 3.105227708370274578e-02 1.691763626472527164e+02 5.000469452269139765e+02
-1.342640959144232315e-01 -9.332139820351025017e-02 3.158037621210445234e-02 1.691138215532341462e+02 4.978003745047012671e+02
-9.609327230247757812e-02 -1.763104818419404807e-01 3.090169923109846450e-02 1.693412998901128788e+02 4.994844695941825421e+02
-3.301205398234299251e-04 -6.778725784369644958e-02 3.135215249928052089e-02 1.725958371501444333e+02 4.954077928303963176e+02
-1.260167224061440883e-01 -7.731629892787794667e-02 2.993763688562689484e-02 1.758021610878464003e+02 5.043343954069480333e+02
-1.242960831731193400e-01 -7.847336782346699124e-02 3.013420126257364273e-02 1.739300519340432345e+02 5.042014376490892005e+02
-1.578810013240289911e-01 -5.083356982773432065e-02 2.966347091993580889e-02 1.755847431658318953e+02 5.054677728704603510e+02
-1.573805832577070407e-01 -2.750020208120773982e-02 3.045492000965537363e-02 1.717066654717129097e+02 5.091770896134044051e+02
-1.801515211968424957e-01 -1.549709678081101841e-02 3.065841126521676174e-02 1.699332508072380676e+02 4.992210992335863011e+02
-1.526877670767899098e-01 -3.544584117740794474e-03 2.972405352095322181e-02 1.737483632805740683e+02 5.020216147137366534e+02
-1.686614111292767115e-01 -3.497656179074849075e-02 2.944855901620106048e-02 1.723838386059925654e+02 4.996733958468507808e+02
-1.581479593310419207e-01 3.786796978846164972e-03 2.854011221935712217e-02 1.701880121885540973e+02 5.047207102455578251e+02
-1.114404571403256605e-01 3.570905383391235338e-02 2.907536919238700585e-02 1.789101983404000862e+02 5.006647246619999692e+02
-1.044271724025006426e-01 2.294340004689566712e-02 3.095958983781074703e-02 1.727917760233462161e+02 4.875556716499192476e+02
-7.888418717257585089e-02 7.491826240880403165e-02 2.883903229753188857e-02 1.759288572851763206e+02 5.006804189046278566e+02
-8.910175043768482628e-02 4.288557768180500940e-02 2.972706563449909953e-02 1.555529912624180895e+02 4.991524582012232827e+02
-9.054349306998119018e-02 3.629936540157524538e-02 2.689434154322867254e-02 1.480055060155607976e+02 5.135422739322499410e+02
-1.451538566892361659e-01 5.771969427026236478e-03 2.592151445787480718e-02 1.572943446516656252e+02 5.108582722140608325e+02
-1.183840203535648367e-01 1.374180777865970648e-01 2.709753646043048733e-02 1.744412432672398836e+02 4.988423843853359472e+02
-1.342884868100520657e-01 7.601775056167182909e-02 2.778201262032053975e-02 1.715337608798168105e+02 4.938482891874397183e+02
-9.598271513579062497e-02 1.313198071290911373e-01 2.769154130338208342e-02 1.714123343774781176e+02 5.001718953712738767e+02
-8.246755660638915852e-02 1.220946920652329071e-01 2.805380159007298327e-02 1.767915907253131707e+02 4.963700206232338701e+02
-1.138706857814675982e-01 5.973902118803249561e-02 2.693860269414343964e-02 1.757858154271332580e+02 5.043340939605220115e+02
-9.725629965358774387e-02 1.532839669858444553e-01 2.786900968625328698e-02 1.764245571878485350e+02 5.029795834189077937e+02
-9.166836242182606342e-02 1.199761718801057170e-01 2.662848772618590931e-02 1.763185668687323471e+02 5.041394126623611669e+02
-9.826244800484082442e-02 3.083083145677536496e-01 2.717199552930385509e-02 1.795183403097539951e+02 5.023719584145516137e+02
-1.155927080613012442e-01 7.321468443798825887e-02 2.722879927160587119e-02 1.735212111923295311e+02 5.029364026852321103e+02
-1.303134147676426047e-01 5.595602075743790621e-02 2.578417070237468134e-02 1.766894762013438651e+02 5.052516186835430290e+02
-3.418802548997931096e-02 1.350130805878145546e-01 2.576249082586216585e-02 1.749676990564092023e+02 5.032784204512808515e+02
-7.128622356674924054e-02 1.533723189885154992e-01 2.605921883320280047e-02 1.783487896306599225e+02 4.992033647844908728e+02
-1.071937696830703585e-01 1.132427627500543349e-01 2.533351715780457133e-02 1.792669461646827926e+02 5.046096992513838018e+02
-3.646503711385699897e-02 2.174181778252308461e-01 2.588607147279952184e-02 1.827611296699311367e+02 5.025411430590613691e+02
-6.097117294618616123e-02 1.133148948881178564e-01 2.530902365250170538e-02 1.713666644088624480e+02 5.001859866488511557e+02
-1.226934124969749212e-01 3.706414295294458566e-02 2.567428216234527924e-02 1.730334152717476854e+02 5.007151853418208702e+02
-9.772385627706954569e-02 1.749267617009641340e-01 2.495938810946252487e-02 1.722225327084240973e+02 5.025784637177056311e+02
-8.661300733066597257e-02 1.901225095335418169e-01 2.496820589072542423e-02 1.761816794515123377e+02 5.003324710456113849e+02
-9.156692444122419006e-02 2.521187217868147146e-01 2.484584744295189121e-02 1.751898516753354897e+02 5.004075469036316122e+02
-7.184940258344939268e-02 1.261995969497890502e-01 2.484202852480913923e-02 1.727208817026344718e+02 5.003523593089543624e+02
-1.337587594457134432e-01 1.347143387159110695e-01 2.413418520804054557e-02 1.756069976067200571e+02 5.043310877224062665e+02
-9.418964718298881988e-02 2.280603603592484541e-01 2.406452987091676696e-02 1.772309538201405985e+02 5.096473024966639400e+02
-1.034892542595904491e-01 1.294239980471559304e-01 2.429625213742274067e-02 1.719991434709720295e+02 5.048704595784710705e+02
-8.675208480443410974e-02 1.290389938791858537e-01 2.338795019082792401e-02 1.744856480297376891e+02 5.078862666500420460e+02
-6.151346822918243862e-02 9.537945943583991948e-02 2.362526668456678761e-02 1.731567286789479567e+02 5.030566756468287508e+02
-1.446962908766616374e-01 2.111410192165056321e-01 2.274726109644647359e-02 1.766362897814557584e+02 5.065457163795983888e+02
-8.349829330726379895e-02 7.562103008664715353e-02 2.262006737289933359e-02 1.732337870589959721e+02 5.056621240519271510e+02
-1.474200005526379309e-01 9.127580620611247531e-02 2.239069200673415860e-02 1.772345916657177725e+02 5.095438525383522119e+02
-6.970412577911667962e-02 9.120982032476698809e-02 2.222438692893624612e-02 1.745258770132442123e+02 5.036486334401423619e+02
-1.130678207805633773e-01 9.125405656289230227e-02 2.236653073907415856e-02 1.745104507710443329e+02 5.035172547225777748e+02
-9.777117748693574251e-02 3.187054456467842967e-02 2.241796340962850034e-02 1.723129618491684028e+02 5.038522805940613125e+02
-7.945367536287779864e-02 1.674741461395974629e-01 2.201198701296829333e-02 1.754789581375050602e+02 5.014504482028475536e+02
-6.246602962036306578e-02 2.951811026076600272e-02 2.197297785416230803e-02 1.721232320700751757e+02 4.996249534007425268e+02
-6.039873300533809414e-02 1.245260115572962151e-01 2.153492386203118697e-02 1.776436772805475641e+02 5.032570159209816438e+02
-1.295729329390326034e-01 9.465691161862822833e-02 2.173518528716309947e-02 1.773691810801063866e+02 5.048229745794927226e+02
1.171209932724267405e-02 1.260432006431362953e-02 2.156036551444358990e-02 1.749393231014268224e+02 4.978417341861646150e+02
-2.933535127473808554e-02 3.508985237361143122e-02 2.132445382377912146e-02 1.751859015114169722e+02 5.036141992538496197e+02
-3.265817387031247614e-03 3.734869557523481237e-02 2.045359040410347357e-02 1.637286798649811601e+02 5.092989955847373267e+02
9.913532565266624380e-03 2.419026786448549848e-02 2.055425431592693836e-02 1.737695359482577828e+02 5.045463137503294320e+02
-1.694376907312844169e-02 6.722031233203205891e-02 2.046692140978496194e-02 1.747026981130228478e+02 5.054850521681327677e+02
-1.840013170092072090e-02 6.454926194138507767e-02 1.995159228665949538e-02 1.682142261750686032e+02 5.077146461293349944e+02
4.381841997406914907e-02 1.312941785967310440e-02 1.939446365185531346e-02 1.707771406917413231e+02 5.024730345542254781e+02
1.538014444243312670e-02 -5.236684452985106153e-03 1.878633206897663971e-02 1.473113346509985035e+02 5.186245707640265437e+02
-1.131060471999443748e-02 -2.138960465488855874e-03 1.899843222011017574e-02 1.582885520748590977e+02 5.148182674133493038e+02
4.144377826950071224e-03 -4.887700262499457098e-03 1.851623431776263859e-02 1.595732831788370447e+02 5.113318789734386769e+02
2.089939178007722484e-02 7.251238956217399660e-03 1.854562466480974212e-02 1.598381133760897512e+02 5.114617558940906292e+02
4.777468991494699529e-02 -1.535491739879935036e-02 1.918466375994869536e-02 1.746644870216214827e+02 4.976867507540913493e+02
5.573715090836248859e-02 -3.317716197520791804e-02 1.870150374354265926e-02 1.749692797939906654e+02 5.028453601218571976e+02
3.319288258058063906e-02 -2.453614325226615225e-02 1.829861197759339100e-02 1.735467842826590470e+02 5.026094297343833546e+02
6.981698494927078558e-02 -1.224448115675380033e-01 1.808533975767175755e-02 1.722313255235663689e+02 4.978013584606362656e+02
5.616270169598939349e-02 -1.667910782005240303e-02 1.806309487400130365e-02 1.770770714891228863e+02 5.030346355869396007e+02
1.049902239778198881e-01 -1.554941544366876538e-01 1.789801089679352031e-02 1.689889081109051858e+02 5.012765631739893593e+02
3.210071693949667626e-02 -7.630630884837787120e-02 1.752535953582763997e-02 1.743988502183054550e+02 5.041277785044711663e+02
6.564947228233680709e-02 -9.520952608017756169e-02 1.727822933921067255e-02 1.731686131474804711e+02 5.019636076787942329e+02
2.700993609767636527e-02 -5.435559347706736544e-02 1.698020386557694272e-02 1.762736700562134047e+02 5.066426468471456133e+02
1.023409882677099869e-01 -1.175162333312794738e-01 1.690591457976499401e-02 1.730691368215349257e+02 5.007199765422956830e+02
7.137823703917201001e-02 -1.021612888055045826e-01 1.682433716532165391e-02 1.713045578761918648e+02 5.053984252782502153e+02
3.521025616720529355e-02 -8.975302183261101019e-02 1.624562199189478334e-02 1.731446533610514109e+02 5.044349498450594638e+02
7.829447474853984401e-02 -1.761146163786891095e-01 1.626862100958971838e-02 1.707677840777070344e+02 5.051722294596997926e+02
5.979846761569031915e-02 -5.244500508680802892e-02 1.613273590228863838e-02 1.764204324188038981e+02 5.036492725705284670e+02
6.513033087048245018e-02 -1.004488896192894526e-01 1.588187765153865894e-02 1.724911474178711615e+02 5.044030868375409682e+02
2.068450265376578848e-02 -7.955812954479515864e-02 1.562306851454402061e-02 1.743494748627988429e+02 5.040287451914300618e+02
8.946715101934896164e-02 -1.475726622808882782e-01 1.552679147898742597e-02 1.697282840799618384e+02 5.077773100649952198e+02
5.568925956924150600e-02 -1.509006525755487438e-01 1.550615094821896842e-02 1.700096215042394476e+02 5.039407914730886091e+02
2.139306840850343019e-02 -1.174426450690698176e-01 1.543155517348235653e-02 1.704032722692702748e+02 5.054772577962862101e+02
4.597436612950335511e-02 -1.206817119591239856e-01 1.491309712839215471e-02 1.737437260629603202e+02 5.057635906291511105e+02
1.105549015090227377e-01 -1.842602702447281582e-01 1.481974866915976470e-02 1.697181777020160212e+02 5.062410464703022512e+02
1.487688146717608580e-02 -3.894857101167867319e-02 1.473440078476439402e-02 1.788892339443790434e+02 5.091771170116089706e+02
1.067267947757076924e-01 -9.096592422965575631e-02 1.429255472777425998e-02 1.741522918723522366e+02 5.093753456002862094e+02
1.264694402348970174e-02 -4.118685986780121905e-02 1.462167800159119846e-02 1.778100421553619697e+02 5.045691301412071539e+02
7.150016668089438643e-02 -1.114684424003793695e-01 1.386989396240589228e-02 1.682961410442149486e+02 5.094408544566546766e+02
6.525768331049516813e-02 -5.303064074635176900e-02 1.398277440886110112e-02 1.767187978520332194e+02 5.071032581822751695e+02
3.335942782541174989e-02 -5.762006322306199163e-02 1.412154936710607531e-02 1.740792419138669516e+02 5.005046815591650784e+02
5.408221189218105629e-02 -1.532211011028903822e-02 1.525590213727520683e-02 1.803304297891034480e+02 4.769987203274203580e+02
3.841926747930257680e-02 -1.630134731365413814e-01 1.354286798166150219e-02 1.610579670822206424e+02 5.056866747208858328e+02
2.034809733974071375e-02 -3.235278291286351054e-02 1.343434598953467153e-02 1.735428079810974396e+02 5.066921738392475163e+02
7.348391212971570191e-03 -1.978697214613130140e-02 1.342970227208642453e-02 1.724746146887115685e+02 5.030268708977269512e+02
-9.296798528104674789e-03 -2.652434743978525356e-02 1.297090398086648416e-02 1.743948569128235135e+02 5.063129767980003066e+02
3.220159427960920390e-02 -1.694091247462440469e-02 1.298350123667444712e-02 1.736181548254258473e+02 5.071153716998891809e+02
-2.291018108955004268e-02 2.377580193778894985e-02 1.295631050625525686e-02 1.697904816789438485e+02 5.021455372243553938e+02
-1.638997363492952081e-02 1.070910139620768337e-02 1.261203436389729191e-02 1.752309070436759839e+02 5.067870674033456453e+02
-2.048769803828045036e-02 1.681423347891344150e-02 1.256250208615204526e-02 1.732666967395678910e+02 5.076697274892540577e+02
-4.699247734507083774e-03 2.532275100647723293e-02 1.246524701823815452e-02 1.732774785417046246e+02 5.011159346243892401e+02
1.986333241183039708e-02 1.275669751169689614e-01 1.222822529405995055e-02 1.799225364210473401e+02 5.017127226557419704e+02
1.214660478856797489e-02 1.773500544050352068e-02 1.229976418216651747e-02 1.740073886905797735e+02 4.964063299443518531e+02
5.703236473798767997e-03 1.113895210518229921e-02 1.213382722500174621e-02 1.729895259081472432e+02 4.993210254780987043e+02
3.311882219282513695e-02 4.703284542472160185e-02 1.194701222875301123e-02 1.676328525358246111e+02 5.037950188287732658e+02
-1.262215678615436106e-02 6.476190313341624594e-02 1.184132370302643129e-02 1.735812238167998203e+02 5.013835505791914784e+02
2.628250996056552893e-02 2.973110577503004434e-02 1.182788756097372974e-02 1.735851116655042858e+02 4.970120699356198770e+02
2.336637727135991438e-02 2.459119495879745487e-02 1.153195111967189948e-02 1.715104253533135363e+02 5.021011017048854228e+02
1.264433401787712873e-02 7.072954771317760403e-02 1.162560033803224785e-02 1.734045927091932811e+02 5.002913638302822505e+02
2.941861733406412466e-03 2.851040255454348818e-02 1.129328642383245832e-02 1.753022869599954277e+02 5.017302778110923782e+02
-4.009797764411272836e-03 8.008592414663191772e-02 1.137573905147915010e-02 1.752331876810138453e+02 5.010562450746061813e+02
